cell_id,topo,Original Name,New Name,Type,UAV Takeoff,Lat,Lon,Alt,Comment,Alt_DEM_2022
30329,3052.749023,HEF30,T303,AWS,,46.791,10.7487,3030,from UIBK Website,3029.45
34121,2426.978271,S2,A244,AWS,,46.82141,10.80585,2438,from field log,2443.03
34946,2673.01416,Q2,Q257,UAV,x,46.80981,10.78146,2575,from iMet,2583.6
35219,2523.569824,S1,A245,AWS,,46.816548,10.79452,2451,from field log,2456.78
35316,2629.500732,Q1,Q255,UAV,,46.81156,10.7861,2550,from iMet,2546.79
35693,2798.266357,Q5,Q272L,UAV,,46.80264,10.76898,2702,from iMet,2718.42
35704,2798.971191,Q4,Q272,UAV,x,46.80175,10.77113,2720,from iMet,2726.18
35704,2798.971191,Lidar,Lidar,Lidar,,46.801632,10.771678,2720,from Streamline GPS,2726.23
35704,2798.971191,Tower,T272,AWS,,46.80181122,10.77126122,2722,from SmartFlux GPS,2725.08
35933,2958.252441,F1,Q293,UAV,x,46.79201,10.75569,2928,from iMet,2928.74
35953,2951.875,F1,F291,Fixed Wing,,46.7928514,10.7571224,2910,from Alex Groos,2916.04
35991,2903.72583,Q7,Q285,UAV,x,46.79415,10.7647,2847.5,from iMet,2851.98
36132,2906.001465,Q7L,Q285L,UAV,,46.79604,10.76295,,from iMet,2856.45
36210,3038.568359,Hintereis,STHE,AWS,,46.798896,10.760373,3031,from UIBK Website,3032.07
36339,2903.692871,Q7R,Q285R,UAV,,46.79273,10.76589,2855,from iMet,2854.61
36558,3261.780029,Im hinteren Eis,IHE,AWS,,46.795761,10.783409,3264,from UIBK Website,
37255,2801.37915,Q6,Q272R,UAV,x,46.80125,10.7735,2721.5,from iMet,2727.64
37400,2766.195557,Q3L,Q267L,UAV,,46.806704,10.772575,2658,from iMet,2673.22
37435,2766.071533,Q3,Q267,UAV,x,46.80541,10.77472,2675,from iMet,2677.03
71796,3101.656982,Q8,Q309,UAV,,46.79437,10.74449,3094,from Alex Groos,3090.04
71796,3101.656982,F2,F309,Fixed Wing,,46.79437,10.74449,3094,from Alex Groos,3090.04